make_cmd,matsize,pattern_size,nb_patterns,transfers_per_sec,cache-misses,cache-references,time elapsed
DUNROLL,64,4,1,5643.32,"139,900,011","444,975,224",30041205284
DUNROLL,512,4,1,13.98,"113,428,006","277,473,050",30040645901
DUNROLL,64,32,16,575.06,"50,715,774","121,831,682",30040329750
DUNROLL,64,128,16,166.55,"2,194,587","5,794,064",0166251837
DUNROLL,64,32,8,1090.62,"2,574,849","8,627,567",0183817889
DUNROLL,64,32,128,89.03,"1,898,110","7,911,021",0139744201
DCACHE_AWARE,64,4,1,5517.1,"3,742,455","9,177,211",0316097786
DCACHE_AWARE,512,4,1,15.18,"5,196,422","10,296,610",0444572368
DCACHE_AWARE,64,32,16,600.37,"2,731,682","7,829,819",0160783976
DCACHE_AWARE,64,128,16,180.19,"2,446,237","7,839,877",0143876743
DCACHE_AWARE,64,32,8,1184.84,"2,405,293","7,789,358",0138189917
DCACHE_AWARE,64,32,128,85.63,"2,645,143","7,647,471",0146055211
DBEST,64,4,1,5027.22,"2,453,797","8,080,763",0144023409
DBEST,512,4,1,11.73,"2,563,949","8,638,869",0184877954
DBEST,64,32,16,312.59,"5,824,799","12,119,121",0686973842
DBEST,64,128,16,162.43,"2,254,793","8,219,315",0147304274
DBEST,64,32,8,1140.17,"1,456,140","5,353,254",0092763111
DBEST,64,32,128,76.34,"2,080,613","5,566,232",0133228550
DCACHE_AWARE -DUNROLL,64,4,1,5376.25,"1,995,399","5,610,881",0142049510
DCACHE_AWARE -DUNROLL,512,4,1,14.34,"2,646,254","6,180,709",0186997494
DCACHE_AWARE -DUNROLL,64,32,16,424.3,"1,344,045","4,960,284",0085917742
DCACHE_AWARE -DUNROLL,64,128,16,177.51,"2,215,720","5,526,875",0133822301
DCACHE_AWARE -DUNROLL,64,32,8,1123.74,"1,446,408","5,176,022",0096728808
DCACHE_AWARE -DUNROLL,64,32,128,82.24,"2,152,350","5,303,660",0125728436
